Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
225,2026-06-03 12:00:12,6.784,MythAndroid,31.2,6.721,2,8,1,5.379,9,52.381,9.677,7.143,7,5,39,141,46,46,0,57.895,7.246,52.8,66,10,12,36,40,12,1,4.071,5
238,2026-05-26 15:26:05,15.54,Progenitor,51.908,17.141,10,9,1,4.361,30,58.621,63.889,46.939,14,14,68,149,29,22,0,88.095,30.952,44.295,66,11,5,51,15,4,3,3.547,26
241,2026-04-29 15:29:38,15.55,yasashiikumo,38.462,11.558,4,8,2,4.6,20,43.478,53.191,9.524,8,9,43,125,26,27,0,73.333,22.472,41.346,43,6,4,30,14,4,2,4.07,20
247,2026-06-03 12:00:12,9.08,Shadow,44.348,12.382,6,9,1,4.623,25,45.833,44.444,50,9,13,56,147,34,32,1,87.5,6.383,40.952,53,9,10,42,18,5,1,4.208,21
249,2026-01-25 15:18:28,10.0,dio,23.762,6.975,0,11,0,3.583,13,47.368,23.404,11.429,6,4,24,101,2,3,0,58.824,5.97,33.663,34,2,2,20,14,2,0,3.235,4
259,2026-06-03 12:00:12,14.879,Patoche49,51.429,12.341,5,9,2,4.963,9,61.111,54.902,52.5,11,13,55,147,73,69,0,96.296,9.877,38.679,48,11,5,40,8,5,2,4.575,21
260,2026-05-09 11:38:22,5.905,AnotherWish,27.679,6.992,4,9,0,3.903,13,25,33.333,23.404,5,4,31,112,6,5,0,55.769,4.412,46.429,52,6,7,29,23,2,0,3.442,3
268,2026-02-20 09:11:44,12.7,civiltwlight,52.518,16.348,9,18,1,4.156,35,83.871,58.333,40.625,15,16,73,145,16,12,0,83.333,48.305,24.742,31,10,7,19,12,3,2,3.0,57
269,2026-05-26 15:26:05,13.215,icefeed2,36.567,9.276,4,9,2,4.714,9,69.231,38.095,37.5,9,9,49,141,45,53,0,95.652,8.621,40.299,54,6,6,37,17,5,1,4.348,13
274,2026-05-21 15:56:15,16.688,Mami,36.806,12.302,7,28,1,4.057,21,38.889,39.437,36.364,13,11,53,144,7,5,0,71.429,28.319,21.528,31,8,5,21,10,3,2,3.032,32
276,2026-05-15 10:45:58,14.34,hmsuis,44.167,12.983,6,8,1,3.604,31,46.429,41.667,45.455,10,8,53,120,6,6,0,75.676,30.12,30.833,37,7,3,28,12,3,2,3.243,25
